pagename,birthdate
garp,2001-05-01
garvey,2002-01-20
gate,1994-03-20
gear,1996-10-10
gemini,1998-06-09
genes1s,1992-11-11
genja,1988-09-24
genthix,1990-12-11
gentle,1999-03-12
genza,1998-10-19
get_Lost,2002-02-26
getback,1970-01-01
gGamza,1970-01-01
ggoong,1993-06-26
ghost_(Korean_player),1999-03-18
gilius,1997-01-05
gimliques,1970-01-01
giyuu,2001-11-12
glebo,1970-01-01
glorry_(Vietnamese_player),2002-01-12
godKwai,1997-06-02
godlike,1993-05-12
godbro,1994-10-14
gogoing,1991-10-02
goku,1996-08-23
goldenglue,1996-11-23
goo,1970-01-01
goose_(Dutch_player),1970-01-01
goot,1970-01-01
gori,2000-08-09
gorica,1970-01-01
gorillA,1994-11-18
gotrek,2001-01-06
gotzy,1970-01-01
governor,1999-03-25
grabbZ,1995-01-14
gralou,1995-11-01
greenTea,1991-04-11
grell,1970-01-01
grevthar,1970-01-01
gricek,1998-07-15
griffin_(American_player),1970-01-01
griffon,1970-01-01
grisen,1997-01-15
lupin,1994-02-07
guYueXin,1996-11-20
guertas,1970-01-01
gUIGO,2002-01-28
guigs,1970-01-01
guilhoto,1994-08-26
guilty,1997-11-18
guldborg,1999-01-17
gumaYusi,2002-02-06
gunkrab,1970-01-01
guoguo,1999-05-24
guts,1998-12-15
guubi,1999-04-30
h0R0,1996-09-21
h4cker,1999-01-15
hHNeverLucky,1970-01-01
hW4NG,1991-06-20
haRleLuYaR,1995-07-12
hachiman_(Dutch_player),2000-05-09
hadess_(Dutch_player),1999-07-22
haeri,1970-01-01
hai,1992-09-20
haise,1997-03-10
hakuho,1995-02-26
halo,1970-01-01
hamBak,2002-08-28
hamez,1970-01-01
hammock,1970-01-01
hanabi,2000-08-12
hanor,1970-01-01
hans_Sama,1999-09-02
hantera,1999-02-12
hard,1970-01-01
haretti,1991-04-21
haro,1998-07-21
harp,1970-01-01
harpoon,1970-01-01
haru,1998-06-03
harumi,1970-01-01
hasmed,2002-03-25
hatrixx,1997-11-13
hauntzer,1995-05-20
hauz,1970-01-01
hawk_(Brazilean_player),2000-01-26
haydal,1994-04-09
haze,1970-01-01
heaQ,1970-01-01
heart,1988-12-13
helios_(Korean_player),1993-06-20
helper_(Chinese_player),1970-01-01
hena,1970-01-01
heroic,1970-01-01
hiRit,1998-07-24
hidan,1970-01-01
hiiva,1994-08-31
hinn,1999-07-20
hioss,1998-01-01
hiro,1970-01-01
hiro_(Czech_player),2000-08-27
hjarnan,1970-01-01
hoglet,1999-08-10
hoit,1999-07-06
hoiz,1970-01-01
hojin,1992-01-04
hollow,1998-06-23
holo,1970-01-01
holyPhoenix,1997-06-02
homi,1993-05-30
homme,1985-01-01
honey_(Korean_player),1970-01-01
hongA,1970-01-01
hooks,1999-02-22
hoon,1999-06-04
hope_(Chinese_player),2000-09-29
hotshotGG,1990-06-23
howLa,1970-01-01
howling,1970-01-01
hoya,1970-01-01
huaTian,1999-06-18
hudie,1994-08-24
hugato,1970-01-01
humanoid,2000-03-14
hungryPanda,1999-01-31
huni,1997-12-25
husha,2001-01-04
husky,1999-08-27
husky_Rider,1970-01-01
hustlinbeasT,1995-05-02
hyBriD,1999-11-27
hybrid,1994-08-05
hylissang,1995-04-30
hyoJun,2002-06-09
hyoga,1970-01-01
hyper,1970-01-01
hyorai,1970-01-01
iWillDominate,1990-08-13
ian,1998-01-22
ibai,1995-03-26
ic0nic,1970-01-01
iceBreaker,1970-01-01
ichiGod,1998-12-21
igNar,1996-11-20
igloo,1970-01-01
illlIma,1970-01-01
imSoFresh,1992-07-29
imaqtpie,1992-02-21
imbi,1997-07-23
imp,1995-06-07
impact,1995-03-07
impaler,1996-03-25
imperial,1970-01-01
inKos,1996-07-01
intreso,1994-04-17
incursio,1970-01-01
infectrix,1970-01-01
infinity_(Spanish_player),1970-01-01
infoneral,1970-01-01
inition,1997-12-11
innaxe,1999-03-23
ino,1970-01-01
inori,1994-12-31
insanity,1970-01-01
inspired,2002-01-24
instinct_(American_player),1970-01-01
ippon,1994-06-24
irean,1970-01-01
irrelevant,2001-10-22
isles,1970-01-01
itsCortez,1970-01-01
itzRenifer,1995-02-01
iwandy,1970-01-01
j0J0C,1970-01-01
jF,1997-04-19
jaVaaa,1970-01-01
jackPoT,1998-11-12
jackeyLove,2000-11-18
jackspektra,1970-01-01
jactroll,1998-08-05
jaeger,1996-06-23
jakamaka,1994-03-12
jankos,1995-07-23
japone,1999-12-23
jaqen,1970-01-01
jatt,1987-06-08
jaunatis,1970-01-01
jauny,2001-04-12
jaxplank,1970-01-01
jay,1992-09-16
jay_(Chinese_player),1999-08-12
jayJ,1970-01-01
jayke,1996-04-17
jaylink,1970-01-01
jean_Mago,2004-01-12
jejky,1970-01-01
jelly,1997-10-18
jenax,1998-12-10
jenkins,1970-01-01
jensen,1995-01-01
jenxas,1970-01-01
jeongHoon,1970-01-01
jeppeHou,1970-01-01
jesiz,1996-06-17
jeskla,2000-08-07
jestkui_Max,1997-11-09
jett,2001-07-23
jeyrus,1970-01-01
jezu,2000-07-27
jhinsane,1999-10-10
jiangqiao,1998-01-12
jiejie,2001-10-27
jiekou,1997-09-04
jiizuke,1996-01-14
jinO,1970-01-01
jinjiao,1998-04-15
jinjo,1970-01-01
jinoo,1995-01-23
jinsh,1970-01-01
jirall,1996-07-12
jisoo,1998-10-06
jisu,1996-05-10
jjun,1970-01-01
jkalam,1996-06-27
joe_Miller,1987-07-29
joekerism,1970-01-01
joekie,1999-05-04
joep,2001-10-08
joey,1970-01-01
johnsun,1999-01-03
joJo,1998-11-11
jojopyun,1970-01-01
joker_(Cho_Jae-eup),1991-12-11
jonsonny,1970-01-01
jool,1970-01-01
josedeodo,2000-05-22
jree,1993-03-03
juhan,1970-01-01
jukes,1970-01-01
julbu,1970-01-01
julien,1970-01-01
junJia,2002-06-10
junmin,1970-01-01
junri,1995-09-29
justice,1998-01-04
juuzou,1970-01-01
juves,1994-12-01
jwaow,1970-01-01
k,1994-05-20
k1ng,1998-02-03
k1tava,2002-04-02
k2,1970-01-01
kASAPINA,1970-01-01
kOOLBERG,1996-02-10
kRP,1993-07-11
kTSR,1970-01-01
kaKAO,1995-12-07
kaas,1970-01-01
kabamarru,1970-01-01
kabbie,2001-12-17
kabe,1994-10-12
kackos,1970-01-01
kadaver,1970-01-01
kadir,1999-03-04
kaiser,1998-11-19
kaito,1970-01-01
kaiwing,1996-10-27
kakan,1998-04-24
kami,1996-04-02
kamil,1970-01-01
kamilius,2000-07-06
kanavi,2000-11-02
kanji,1970-01-01
kanna,1970-01-01
kaori,2001-07-09
karim_kt,1997-03-19
karis,1970-01-01
karsa,1997-02-14
kartis,2001-07-12
kashtelan,1998-12-14
katare,1997-05-06
kati,1999-11-05
katsurii,1970-01-01
kaylem,1970-01-01
kaze,1970-01-01
kazeTAR,1970-01-01
kazu,1994-05-25
keane,1993-08-03
keduii,2000-10-13
keel,1970-01-01
kehvo,1970-01-01
keine,1970-01-01
keith,1997-11-23
kektz,1994-03-06
kellin,2001-02-01
kelsey_Moser,1988-09-20
kemken,2000-07-09
kenal,2003-03-04
kenapil,1999-06-10
kennedys,1970-01-01
kenvi,1970-01-01
kerberos,1970-01-01
keria,2002-10-14
kerp,1993-03-05
keshi,1970-01-01
key,1997-06-20
keymaker,1996-03-21
keysie,1997-08-23
kael_(Korean_player),1970-01-01
khan,1995-12-22
khantos,1970-01-01
khomzar,1970-01-01
khynm,1995-05-15
kiWiKiD,1993-11-08
kiao,2000-07-29
kiari,1970-01-01
kiaya,2001-05-17
kick,1970-01-01
kid,1997-08-23
kiefer,2001-02-27
kiin,1999-05-28
kikis,1996-03-16
killua,1996-09-07
kim_Jung-su,1988-06-17
kinatu,1970-01-01
kind,1970-01-01
kindless,1998-07-17
kine,2000-08-06
king_(Trevor_Roy),1970-01-01
king_Loko,2000-11-08
kingJ,1996-04-04
kingKong,1970-01-01
kingen,2000-03-11
kinn,1970-01-01
kino,1998-04-12
kinzu,1996-08-23
kio,1970-01-01
kireas,2001-04-16
kirei,1997-02-18
kirrrra,1993-03-07
kit,1997-08-18
kitties,1992-09-03
kitty,1994-10-17
kituruken,1970-01-01
kiy1n9,1970-01-01
klaabu,1970-01-01
klaj,1996-01-30
klaus,1970-01-01
klowny,1995-01-02
klydex,1970-01-01
knighter,1970-01-01
koala_(Taiwanese_player),1995-08-16
kobbe,1996-09-21
kobe,1986-06-29
kofte,2000-05-15
kold,1995-02-22
koldo,1970-01-01
konDziSan,1997-08-06
kongMing,1998-01-18
kongyue,1999-07-19
korol,1994-05-02
korpse,1994-12-28
korts,1970-01-01
kourosh,1970-01-01
krakmo,1994-06-27
kramer,1996-03-09
krastymel,1999-03-17
kreox,1970-01-01
krepo,1990-03-08
kroMAX,1970-01-01
kroghsen,1997-02-09
kronG,1970-01-01
kronos,1997-12-30
kruimel,1994-04-23
kryze,1999-07-01
ksaez,1970-01-01
kuKu,1996-09-01
kuMaMoTo,1993-02-05
kubz,1994-07-19
kuma,2000-11-14
kumo,2000-04-09
kuri,1970-01-01
kuro,1994-01-04
kuroko,1999-11-19
kusuo,1970-01-01
kxng,1970-01-01
kyanna,1997-08-25
kynetic,1970-01-01
kyon,1998-03-11
kyose,1970-01-01
lANGX,1997-09-19
lEP,1996-02-28
lIDER,1999-07-03
liMiT,1997-12-27
lL,2000-10-19
lOCKIE,1970-01-01
lS,1993-09-15
lUBEEENZZZ,1970-01-01
laFleur,1970-01-01
lamia,1989-12-27
laba,1999-03-15
labrov,2002-02-12
laden,1992-06-05
lagiah,1970-01-01
lagsAlot,1998-06-25
lakinther,1970-01-01
lamabear,1998-07-21
larssen,2000-03-30
last,1970-01-01
lastwolf,1970-01-01
lautemortis,1990-03-13
lava,1999-07-14
lawi,1970-01-01
laynel,1998-04-02
le_Roi_Bisou,1991-10-18
leChase,1970-01-01
leQu,1970-01-01
leTigress,1970-01-01
leX,1995-05-12
lebron,1970-01-01
lehends,1998-12-24
lekcyc,1996-06-24
lemonNation,1989-06-15
lenny,1994-05-03
lenom,2003-07-23
leo_(Han_Gyeo-re),2000-01-12
leo_D_Aras,1970-01-01
leon,1970-01-01
letme,1996-05-18
levi,1997-11-18
lewus,2001-06-27
ley,1997-06-15
leyan,2002-07-07
leza,1998-09-28
lian,1998-05-03
liang,1998-07-14
librid,1970-01-01
licorice,1997-09-30
lies_(Chinese_player),1997-12-28
life,2000-07-07
light_(Wang_Guang-Yu),2001-02-21
likai,1970-01-01
likkrit,1995-10-03
lilballz,1988-06-12
lilipp,2001-01-20
lillebelt,1993-04-14
lilv,1998-09-20
