id,birthdate
Dishier Wand,1997-12-29
DjaGoF,1970-01-01
DoH,1987-12-16
DoYoung2Win,1970-01-01
Dobby,1970-01-01
Doctor A Ness,1970-01-01
Dogs_Johnson,1970-01-01
Dojo,1970-01-01
Dom,1970-01-01
Dom,1970-01-01
DonB,1970-01-01
Donquavious,1970-01-01
Doomblaze,1970-01-01
Doorstop,1970-01-01
Dope,1985-04-30
Dope,1970-01-01
Doraki,1970-01-01
Dos,1970-01-01
DoubleA,1970-01-01
Dr.,1970-01-01
Dr. Z,1982-09-18
DrLobster,1970-01-01
Dragon,1970-01-01
Dragoomba,1970-01-01
Dream,1970-01-01
Drephen,1985-12-12
DrinkingFood,1970-01-01
Droopy,1970-01-01
Drugfreechu,1999-03-24
Druggedfox,1970-01-01
Drunk Sloth,1993-05-12
Duck,1991-11-25
Dumshiny,1970-01-01
Dunk,1970-01-01
Dunkmaster Ragna,1970-01-01
DynaStyle,1970-01-01
Dynamo,1970-01-01
Däumling,1991-08-07
E-tie,1970-01-01
EE,1970-01-01
EG,1970-01-01
EKING,1970-01-01
ESAM,1992-11-17
EVERYBODYPOOPS,1970-01-01
Eagle,1970-01-01
EarlofM,1970-01-01
Earth,1970-01-01
EastCoastJeff,1970-01-01
Eddie,1979-04-16
Eddy,1970-01-01
Eddy Mexico,1970-01-01
Eekim,1970-01-01
Eggm,1970-01-01
Eggy,1970-01-01
Eggz,1990-10-22
Eidolon,1970-01-01
Eikelmann,1992-09-07
Eim,1970-01-01
El Shroomo,1970-01-01
El_Bardo,1970-01-01
El_Pitikla,1970-01-01
Eldigan,1970-01-01
Elegant,1998-11-07
Elexiao,1970-01-01
Elliot,1970-01-01
Ellipsis,1970-01-01
EmmiZhang,1991-10-15
Emp,1970-01-01
Enig,1970-01-01
Enki,1970-01-01
Enn,1970-01-01
Envy,1970-01-01
Enzo,2000-01-14
EnzoGulity,1970-01-01
Eon,2001-01-20
Epic Murloc,1970-01-01
Epic_Gabriel,1970-01-01
Epikfaal,1970-01-01
Escurridizo,1995-02-09
Espeon•CH,1970-01-01
Espi,1970-01-01
Etril,1970-01-01
Etsuji,1970-01-01
EuO,1970-01-01
Excel_Zero,1970-01-01
Exile,1994-03-27
Exodia,1996-09-23
Explo,1970-01-01
Extra,1994-08-16
F-A-!-A,1970-01-01
FA0,1970-01-01
FAUST,1970-01-01
FLiiNcHy,1970-01-01
FMB5K,1970-01-01
FOW,1995-07-20
FROOT,1970-01-01
FSharp,1970-01-01
Faab,1970-01-01
Fable,1970-01-01
Fake,1970-01-01
Falpan,1970-01-01
False,1970-01-01
Fat Tino,1970-01-01
FatGoku,1970-01-01
Fatality,1994-08-07
Fatman.spam,1970-01-01
Fauster,1990-08-28
Fck Vwls,1970-01-01
Fearless,1994-08-31
Fekah,1970-01-01
Felker,1970-01-01
Fendrick Lamar,1970-01-01
Feradit,1970-01-01
Fess,1970-01-01
Fiction,1970-01-01
Figy,1970-01-01
Filthy Casual,1970-01-01
Finio,1970-01-01
Fire,1970-01-01
Fireblaster,1988-11-12
Firefly,1970-01-01
FireflyHI,1970-01-01
Firehao,1970-01-01
Firo,1970-01-01
Fishbait,1970-01-01
Fizz,1970-01-01
Fizzi,1970-01-01
Fizzle_Boy,1970-01-01
Flash,1970-01-01
Flash,1970-01-01
FlashingFire,1970-01-01
Flikkflakk,1989-10-03
Flipp,1993-09-27
Flippy,1970-01-01
Flipsy,1970-01-01
Floimar,1970-01-01
Flow,1996-09-20
Fluid,1970-01-01
Fly Amanita,1970-01-01
Focus,1994-10-27
ForTseKe,1970-01-01
Fork,1970-01-01
Forrest,1970-01-01
Forward,1987-07-12
Fout NL,1970-01-01
Foxy Grandpa,1970-01-01
Franz,1970-01-01
Frawg,1970-01-01
Free Palestine,1970-01-01
Freean,1970-01-01
Freekleef,1996-01-26
Freetox_,1970-01-01
Frenzy,1970-01-01
Frido,1970-01-01
Frieddo,1970-01-01
Friso,1970-01-01
Frootloop,1970-01-01
Frostbyte,1970-01-01
Frosty,1970-01-01
Frozen,1970-01-01
Frycook,1970-01-01
Fskin,1970-01-01
Fukurou,1970-01-01
FullStream,1970-01-01
Funya~n,1970-01-01
Futsuka-miman,1970-01-01
Fuwa,1970-01-01
Fuzz,1994-08-17
Fuzzyness,1989-10-10
Fwed,1970-01-01
G$,1970-01-01
G-danzee,1970-01-01
GAwes,1970-01-01
GG,1970-01-01
GI0GOAT,1970-01-01
Gabe,1970-01-01
Gackt,1970-01-01
Gahtzu,1993-04-25
Galan,1970-01-01
Gallo,1970-01-01
Gameboyjr,1970-01-01
Ganondorf,1970-01-01
Gardex,1970-01-01
Garrote,1998-05-21
GaussBet,1970-01-01
Gen,1970-01-01
Genarog,1970-01-01
Genghis Connor,1998-01-27
Genialo,1970-01-01
Geova,1970-01-01
Germ,1970-01-01
Gerson,1970-01-01
Ghost,1970-01-01
GimR,1989-09-24
Gimpyfish,1970-01-01
Ginger,1995-04-30
Gino,1970-01-01
Glaikit,1970-01-01
Glitch,1970-01-01
Glitter,1970-01-01
Glutonny,1995-06-01
Gnes,1989-01-27
Goblin,1970-01-01
God with a Wavebird,1970-01-01
GodTouch,1970-01-01
Godzrage,1989-06-10
Gohan,1970-01-01
Gomakenpi,1970-01-01
Gomamugitya,1970-01-01
Goode,1970-01-01
Goof,1998-10-01
Googleyeyed,1970-01-01
Gooms,1970-01-01
Goomy,1970-01-01
Goose,1970-01-01
Gpik,1970-01-01
Gr4pe,2000-07-26
Grab,1970-01-01
Grade,1970-01-01
GranmasGotGame,1970-01-01
Grape,2001-11-05
Gravy,1970-01-01
Grayson,2001-02-02
Green Ranger,1991-11-17
GreenBeast,1996-06-20
Greginator,1970-01-01
Gregs,1970-01-01
Greil,1996-04-09
Greno,1970-01-01
Greward,1970-01-01
GrimTurtle,1970-01-01
Grove,1970-01-01
Grzly,1970-01-01
Guasausky,1970-01-01
Gucci,1970-01-01
Gulbutron,1970-01-01
Gungnir,1970-01-01
Gunnermaniac,1970-01-01
HAMMERHEART,1970-01-01
HERO,1970-01-01
HIDE,1970-01-01
HIKARU,1970-01-01
HP,1970-01-01
Hackoru,1970-01-01
Haha,1970-01-01
Haipe,1997-07-05
HammerTime,1970-01-01
Han Solo,1970-01-01
HandsomeTom,1970-01-01
Hanky Panky,1970-01-01
Hao,1970-01-01
Happymealz,1970-01-01
Harasen,1970-01-01
Harriet,1970-01-01
Harry Pogger,1970-01-01
Hassan,1970-01-01
Hawk,1970-01-01
Hax,1994-05-07
Hayato.,1970-01-01
Hazzard,1970-01-01
Heartstrings,1970-01-01
Hebiichigo,1970-01-01
Heck,1970-01-01
Hedgeon,1970-01-01
Hello,1970-01-01
Hendrix,1970-01-01
Hero Pie,1970-01-01
Hero of Time,1970-01-01
Herrán,1970-01-01
Heru,1970-01-01
HiFi,1970-01-01
Hibuto,2002-10-08
Hinkage,1970-01-01
Hirschulat,1996-12-18
Hitoshio,1970-01-01
Hiyo,1970-01-01
Ho,1970-01-01
Holiday,1999-03-07
Holy,1970-01-01
Holy,1970-01-01
HomeMadeWaffles,1990-05-09
Homika,1970-01-01
Hondo,1970-01-01
Honk,1970-01-01
HoorayForJay,1970-01-01
Horbie,1970-01-01
Hoss Delgado,1970-01-01
Hotline,1970-01-01
HugS,1986-01-21
Hungrybox,1993-06-21
Hunybear,1970-01-01
Husband,1970-01-01
HyperFlame,1996-09-13
Hyprid,1970-01-01
Hyuga,1992-07-23
IB,1970-01-01
IC,1993-03-08
Ice,1991-07-01
Iceman,1970-01-01
IcyMist,1970-01-01
Idea,1970-01-01
Ignis,1970-01-01
Iifter,1970-01-01
ImHip,1970-01-01
ImperfeCt,1970-01-01
Infinite Numbers,1970-01-01
Infinity,1970-01-01
Insie,1970-01-01
Inter,1970-01-01
Iori,1970-01-01
Iota,1997-04-16
Irnel,1970-01-01
Irregular Jinny,1970-01-01
Isai,1985-03-17
Isdsar,1970-01-01
Ismaël,1970-01-01
Ismon,1970-01-01
Isyan,1970-01-01
Ito,1970-01-01
IuDKing,1970-01-01
Ivayne,1970-01-01
IvándeSevilla,1970-01-01
Ixis,1970-01-01
Izaw,1970-01-01
Izzi,1989-06-03
Iñf,1970-01-01
J.Miller,1970-01-01
JBash,1970-01-01
JCAM,1970-01-01
JCubez,1970-01-01
JD,1970-01-01
JFlex,1970-01-01
JFyst,1996-03-25
JJK,1999-09-28
JJM,1970-01-01
JJROCKETS,1993-03-26
JK,1970-01-01
JKJ,1970-01-01
JMYL,1970-01-01
JMafia,1970-01-01
JNaut,1970-01-01
JOKER,1970-01-01
JSalt,1970-01-01
Jace,1970-01-01
Jacky,1970-01-01
Jackzilla,1970-01-01
Jadde,1970-01-01
Jade,1970-01-01
Jaden,1970-01-01
Jagaimo,1970-01-01
JaimeHR,1985-10-13
Jaka,1970-01-01
Jakal,1970-01-01
Jake,1970-01-01
Jakenshaken,1970-01-01
Jakespeare,1970-01-01
Jaller,1970-01-01
Jam,1970-01-01
Jamie,1970-01-01
Jamrun,1970-01-01
Jana,1997-03-11
Janco,1970-01-01
Janitor,1970-01-01
Jason,1988-02-03
Jason Waterfalls,1970-01-01
Javi,1989-05-17
Javi,1970-01-01
Jaxter,1970-01-01
JaySon,1970-01-01
Jaycee,1991-05-11
Jbandrew,1970-01-01
Jboss,1996-05-10
Jdizzle,1970-01-01
JeBB,1995-02-22
JeJaJeJa,1970-01-01
Jean-Paul,1970-01-01
Jeapie,1991-10-28
Jekku,1970-01-01
Jerem,1996-05-22
Jerry,1970-01-01
Jesuischoq,1970-01-01
JiM,1970-01-01
Jiano,1970-01-01
Jim Jam Flim Flam,1970-01-01
Jimmy Joe,1970-01-01
Jin,1970-01-01
Jman,1992-09-25
Jmook,1970-01-01
JoJo,1970-01-01
JoMo,1970-01-01
Joanna Dark,1970-01-01
Joe,1970-01-01
Joe,1988-10-23
Joey Donuts,1970-01-01
Jogibu,1970-01-01
John Numbers,1992-04-10
JohnnyFight,1970-01-01
Joker,1970-01-01
Jolteon,1992-10-22
Jonny Westside,1970-01-01
Jonsch,1970-01-01
Jormis,1970-01-01
Jose V,1970-01-01
Josh Brody,1988-05-02
Joshi,1970-01-01
Joshi,1970-01-01
Joukai,1970-01-01
Jouske,1970-01-01
Joyboy,1970-01-01
JpegImage,1970-01-01
Jtails,1970-01-01
Juggleguy,1991-07-29
Juice,1970-01-01
Juicebox,1970-01-01
Jules,1970-01-01
Jumpsteady,1970-01-01
Junebug,1970-01-01
Just Jason,1970-01-01
JustJoe,1970-01-01
Justus,1970-01-01
Juuuuul,1999-04-10
JvJ,1970-01-01
Jw,1970-01-01
K Rool,1970-01-01
K-12,1970-01-01
K.F,1970-01-01
K9sbruce,1970-01-01
KD3,1970-01-01
KEN,1970-01-01
KJH,1993-08-12
KOSSismoss,1970-01-01
KP,1970-01-01
KPAN,1970-01-01
Ka-Master,1970-01-01
KaLL,1970-01-01
Kabal,1970-01-01
Kadano,1970-01-01
Kaeon,1970-01-01
Kaese,1970-01-01
Kafkah,1994-03-19
Kage the Warrior,1985-10-29
Kain,1989-10-16
Kakera,1991-11-07
Kakpu,1970-01-01
Kalamazhu,1970-01-01
Kalvar,1970-01-01
Kameme,1996-08-08
Kami,1970-01-01
Kanaribird,1970-01-01
Kanye Rest,1970-01-01
Kaos,1970-01-01
Karna,1996-08-09
Karoegu,1970-01-01
Karpador64,1970-01-01
KasparV,1970-01-01
KassandraNova,1970-01-01
Kata,1970-01-01
Kazenoko,1970-01-01
Kazeol,1970-01-01
Ke-ya,1970-01-01
Kebabman13,1970-01-01
Keen,1997-05-29
Kefit,1970-01-01
Kei,1970-01-01
Keisuke,1970-01-01
Keitaro,1987-09-17
Kelasius,1970-01-01
Kellner,1970-01-01
Kels,1988-07-16
Ken,1985-10-10
Kenko,1970-01-01
Kepler,1970-01-01
KeroKeroppi,1970-01-01
Ketchup,1996-08-22
Kevin Maples,1970-01-01
Khalid,1970-01-01
Khanage,1970-01-01
Khryke,1970-01-01
Ki,1970-01-01
Kibzu,1970-01-01
Kid Candi,1970-01-01
Kie,1970-01-01
Kieran,1970-01-01
Kikoho,1970-01-01
Kikoushi,1970-01-01
KillaOR,1970-01-01
Killer,1970-01-01
Kimchi,1970-01-01
Kimimaru,1970-01-01
King,1985-08-23
King,2001-05-01
King Funk,1970-01-01
King Koopa,1970-01-01
King Momo,1970-01-01
KingArc,1970-01-01
Kingtoon,1991-12-12
Kingu,1970-01-01
Kins0,1970-01-01
Kippe,1970-01-01
Kira,1989-06-22
Kira,1970-01-01
KiraFlax,1993-06-30
Kirbstomper,1970-01-01
KirbyKaze,1970-01-01
KirbyKid,2003-07-18
Kirihara,1970-01-01
Kisha,1970-01-01
Kishiru,1970-01-01
Kismet,1970-01-01
Kitcatski,1970-01-01
KittyMW,1970-01-01
Kiw,1970-01-01
Kiwi,1970-01-01
Kiyarash,1970-01-01
Klemenz,1970-01-01
KnitePhox,1970-01-01
Knullebibs,1970-01-01
Knut,1970-01-01
KoDoRiN,1970-01-01
KoRoBeNiKi,1970-01-01
Kobe,1970-01-01
Kobobi,1970-01-01
Kofi,1970-01-01
Kogarasuma,1994-01-12
Kola,1970-01-01
Kome,1970-01-01
Komodo,1970-01-01
Komota,1970-01-01
Komotonoto,1970-01-01
Kone,1970-01-01
Koobie,1970-01-01
KoopaKev,1970-01-01
KoopaTroopa895,1970-01-01
KoreanDJ,1970-01-01
Kort,1994-03-20
Kounotori,1970-01-01
Koyu,1970-01-01
Kranke Maschine,1970-01-01
Kratogans,1970-01-01
Kreeg,1970-01-01
Krudo,1970-01-01
Ksev,1970-01-01
Kuma,1999-08-05
Kumatora,1970-01-01
Kupo,1970-01-01
Kurabba,1970-01-01
Kurama,2005-02-04
Kuro,1996-12-11
Kurry,1997-09-10
Kuya,1970-01-01
Kuyashi,1970-01-01
Kwaz,1970-01-01
Kycse,1990-11-19
Kyle,1994-07-12
Kyle Tree,1970-01-01
Kylethh,1970-01-01
Kürv,1970-01-01
L,1970-01-01
L-T,1996-02-25
L4st,2002-04-25
LAG,1970-01-01
LD,1970-01-01
LETSGO,1970-01-01
LGuy,1970-01-01
LI4R,1970-01-01
LOE1,1970-01-01
La Luna,1991-06-09
Lad,1970-01-01
Lafungo,1970-01-01
Laguna,1970-01-01
Laj,1970-01-01
Lampadaires,1970-01-01
Lanceinthepants,1970-01-01
Lancelot,2002-01-04
Larry Lurr,1990-03-20
Laske,1994-03-08
Laudandus,1970-01-01
Laurster,1970-01-01
Lazyboredom,1970-01-01
Le Goat,1970-01-01
LeSou,1970-01-01
Lea,1970-01-01
Leaf,1970-01-01
Leaum,1970-01-01
Leck,1970-01-01
Lee Martin,1989-10-27
Leffen,1994-10-16
Left,1970-01-01
Legend,1997-04-18
Legit,1970-01-01
Lego,1970-01-01
Leighton,1970-01-01
Lemmon,1970-01-01
Len,1970-01-01
Lengüitas,1970-01-01
LeoN,1970-01-01
Leon,1988-05-28
Leso,1986-06-11
Levingy,1970-01-01
Lex,1991-05-21
Liax,1970-01-01
Lie,1970-01-01
Light,1999-10-22
Light,1993-03-02
Light the Lantern,1970-01-01
Lilo,1970-01-01
LingLing,1991-03-02
Linguini,1970-01-01
Link91,1970-01-01
Linkeiro,1970-01-01
Linus,1970-01-01
Lionheart,1970-01-01
Liva,1970-01-01
LoZR,1970-01-01
Loading...,1970-01-01
Locus,1970-01-01
Logan,1970-01-01
Logic,1970-01-01
Logix,1970-01-01
Logos,1970-01-01
Loki,1990-12-07
Loli,1970-01-01
Long,1970-01-01
Longo,1998-04-28
Lord,1970-01-01
Lord English,1970-01-01
Lord HDL,1970-01-01
Lord Narwhal,1970-01-01
Lord Sturm,1970-01-01
LordMix,1970-01-01
Lorenzo,1992-10-24
Loto,1970-01-01
Louis,1970-01-01
Lovage,1970-01-01
Lowercase hero,1970-01-01
Lowww,1970-01-01
LoyaL,1970-01-01
LuK,1970-01-01
Luan,1970-01-01
Lucien,1990-07-08
Luck,1970-01-01
Lucky,1991-11-10
Lucky,1970-01-01
Lucky,1970-01-01
Luco,1970-01-01
Ludecoli,1970-01-01
Ludwig,1995-07-06
Luffy,1996-03-29
Luhtie,1970-01-01
Lui$,1998-10-01
LuiS,1996-01-10
Luigi player,1988-02-16
LuigiKid,1970-01-01
Luisfer,1970-01-01
Lukingordex,1996-03-18
Lukitu,1970-01-01
Luma,1970-01-01
Lumbre,1970-01-01
Luminous!,1970-01-01
